id,nome,partido,categoria,igreja,UF,eleito,capilaridade,primeira,sexo,evangelico,num_votos,filiados,perc_agp,perc_agr,perc_com,perc_fin,perc_ind,perc_inf,perc_ser,perc_pf,perc_rp,perc_votos,posicao,decil_filiados,decil_deputados,receita_agp,receita_agr,receita_com,receita_fin,receita_ind,receita_inf,receita_pf,receita_rp,receita_ser,total_receita
583912,LEDA MARIA SADALA BRITO,AVANTE,DIREITA,,AP,1,0.760,0,1,0,11301,187127,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.92,0.35,0.40,0.40,211408.45,0.00,0.00,0.00,0.00,0.00,14000.00,0.00,0.00,225408.45
586890,LUIS HENRIQUE DE OLIVEIRA RESENDE,AVANTE,DIREITA,,MG,1,0.508,0,0,0,50474,187127,0.98,0.00,0.00,0.00,0.00,0.00,0.25,0.42,0.00,0.93,0.35,0.40,0.40,2271431.96,0.00,0.00,0.00,0.00,0.00,5699.00,0.00,3566.00,2280696.96
586839,ANDRE LUIS GASPAR JANONES,AVANTE,DIREITA,Batista,MG,1,0.859,0,0,1,178660,187127,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,1.00,0.35,0.40,0.40,205342.10,0.00,0.00,0.00,0.00,0.00,4641.52,0.00,0.00,209983.62
586662,GREYCE DE QUEIROZ ELIAS,AVANTE,DIREITA,Sara Nossa Terra,MG,1,0.529,0,1,1,37620,187127,0.88,0.00,0.21,0.00,0.52,0.18,0.83,0.39,0.00,0.91,0.35,0.40,0.40,754946.83,0.00,2500.00,0.00,15000.00,2800.00,4800.00,0.00,324000.00,1104046.83
584268,CARLOS TITO MARQUES CORDEIRO,AVANTE,DIREITA,AD,BA,1,0.227,0,0,1,48899,187127,0.66,0.19,0.00,0.00,0.00,0.00,0.00,0.58,0.57,0.90,0.35,0.40,0.40,271000.00,3000.00,0.00,0.00,0.00,0.00,8180.00,5000.00,0.00,287180.00
584280,MANOEL ISIDÓRIO DE SANTANA JÚNIOR,AVANTE,DIREITA,AD,BA,1,0.794,0,0,1,323264,187127,0.72,0.00,0.14,0.00,0.28,0.20,0.44,0.77,0.83,1.00,0.35,0.40,0.40,532000.00,0.00,1820.00,0.00,1100.00,2330.15,60870.00,100829.83,9120.00,708069.98
578823,JOÃO FRANCISCO INÁCIO BRAZÃO,AVANTE,DIREITA,,RJ,1,0.616,0,0,0,25817,187127,0.89,0.00,0.81,0.00,0.00,0.00,0.00,0.38,0.00,0.94,0.35,0.40,0.40,351646.00,0.00,107000.00,0.00,0.00,0.00,2500.00,0.00,0.00,461146.00
580223,LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,DC,DIREITA,,RJ,1,0.801,0,0,0,50284,187079,0.80,0.00,0.39,0.00,0.00,0.00,0.00,0.67,0.93,0.98,0.35,0.40,0.10,63540.95,0.00,5800.00,0.00,0.00,0.00,12200.00,157615.27,0.00,239156.22
585256,EFRAIM DE ARAUJO MORAIS FILHO,DEM,DIREITA,,PB,1,0.834,0,0,0,76089,1093466,0.95,1.00,0.40,0.00,0.00,0.00,0.84,0.80,0.00,0.95,0.76,0.90,0.70,1095353.16,100000.00,5000.00,0.00,0.00,0.00,25000.00,0.00,76000.00,1301353.16
583077,LUIS CLAUDIO FERNANDES MIRANDA,DEM,DIREITA,,DF,1,0.995,1,0,0,65107,1093466,0.00,0.00,0.74,0.44,0.73,0.00,0.86,0.11,0.00,0.97,0.76,0.90,0.70,0.00,0.00,35000.00,5000.00,25000.00,0.00,668.00,0.00,465050.00,530718.00
